,region,total_votes,valid_votes,cand_votes,party_initialis,votes
548,Zamora,102925,101678,100766,SUMAR,5730
549,Zamora,102925,101678,100766,Zsi,1797
550,Zamora,102925,101678,100766,U.P.L.,511
551,Zamora,102925,101678,100766,PACMA,259
552,Zamora,102925,101678,100766,PREPAL,155
553,Zamora,102925,101678,100766,FO,116
554,Zamora,102925,101678,100766,PCTE,86
555,Zamora,102925,101678,100766,PUM+J,71
556,Zamora,102925,101678,100766,RECORTESCERO,47
557,Zaragoza,519403,514737,510069,PP,185613
558,Zaragoza,519403,514737,510069,PSOE,158517
559,Zaragoza,519403,514737,510069,VOX,78915
560,Zaragoza,519403,514737,510069,SUMARARAGÓN,69239
561,Zaragoza,519403,514737,510069,EXISTE,7713
562,Zaragoza,519403,514737,510069,PAR,2682
563,Zaragoza,519403,514737,510069,PACMA,2364
564,Zaragoza,519403,514737,510069,ESCAÑOSENBLANCO,2119
565,Zaragoza,519403,514737,510069,EB,1940
566,Zaragoza,519403,514737,510069,FO,1013
567,Zaragoza,519403,514737,510069,PCTE,543
568,Zaragoza,519403,514737,510069,PUM+J,390
569,Zaragoza,519403,514737,510069,F.I.A.,387
570,Zaragoza,519403,514737,510069,RECORTESCERO,303
571,Zaragoza,519403,514737,510069,FE de lasJONS,271
