region,total_votes,valid_votes,cand_votes,party_initialis,votes
Ourense,"182.316,00","180.645,00","179.566,00",PACMA,"580,00"
Ourense,"182.316,00","180.645,00","179.566,00",FO,"170,00"
Ourense,"182.316,00","180.645,00","179.566,00",PUM+J,"102,00"
Ourense,"182.316,00","180.645,00","179.566,00",CCD,"100,00"
Ourense,"182.316,00","180.645,00","179.566,00",RECORTESCERO,"83,00"
Ourense,"182.316,00","180.645,00","179.566,00",PCTG,"77,00"
Palencia,"97.309,00","96.204,00","95.377,00",PP,"40.263,00"
Palencia,"97.309,00","96.204,00","95.377,00",PSOE,"33.183,00"
Palencia,"97.309,00","96.204,00","95.377,00",VOX,"12.417,00"
Palencia,"97.309,00","96.204,00","95.377,00",SUMAR,"5.792,00"
Palencia,"97.309,00","96.204,00","95.377,00",VP,"1.898,00"
Palencia,"97.309,00","96.204,00","95.377,00",ESPAÑAVACIADA,"378,00"
Palencia,"97.309,00","96.204,00","95.377,00",GITV,"361,00"
Palencia,"97.309,00","96.204,00","95.377,00",FO,"305,00"
Palencia,"97.309,00","96.204,00","95.377,00",PACMA,"282,00"
Palencia,"97.309,00","96.204,00","95.377,00",RECORTESCERO,"231,00"
Palencia,"97.309,00","96.204,00","95.377,00",PUM+J,"90,00"
Palencia,"97.309,00","96.204,00","95.377,00",PCTE,"76,00"
Palencia,"97.309,00","96.204,00","95.377,00",FE de lasJONS,"69,00"
Palencia,"97.309,00","96.204,00","95.377,00",CJ,"32,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",PP,"223.226,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",PSdeG-PSOE,"177.199,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",SUMAR,"74.605,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",B.N.G.,"53.246,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",VOX,"26.648,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",PACMA,"2.925,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",FO,"944,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",RECORTESCERO,"487,00"
Pontevedra,"569.327,00","563.480,00","559.721,00",PCTG,"441,00"
Salamanca,"198.931,00","196.659,00","195.023,00",PP,"92.498,00"
Salamanca,"198.931,00","196.659,00","195.023,00",PSOE,"59.790,00"
Salamanca,"198.931,00","196.659,00","195.023,00",VOX,"28.959,00"
Salamanca,"198.931,00","196.659,00","195.023,00",SUMAR,"10.760,00"
Salamanca,"198.931,00","196.659,00","195.023,00",ESPAÑAVACIADA,"1.031,00"
Salamanca,"198.931,00","196.659,00","195.023,00",PACMA,"566,00"
Salamanca,"198.931,00","196.659,00","195.023,00",PREPAL,"469,00"
Salamanca,"198.931,00","196.659,00","195.023,00",PCTE,"311,00"
Salamanca,"198.931,00","196.659,00","195.023,00",FO,"249,00"
Salamanca,"198.931,00","196.659,00","195.023,00",PUM+J,"180,00"
Salamanca,"198.931,00","196.659,00","195.023,00",CJ,"132,00"
Salamanca,"198.931,00","196.659,00","195.023,00",RECORTESCERO,"78,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",PP,"173.222,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",PSOE,"164.533,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",CCa,"81.391,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",SUMAR,"53.330,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",PACMA,"6.098,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",NC-bc,"3.135,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",FO,"1.597,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",AHORACANARIAS-PCPC,"772,00"
Santa Cruz de Tenerife,"496.119,00","489.895,00","484.835,00",RECORTESCERO,"757,00"
Segovia,"89.091,00","87.783,00","86.922,00",PP,"39.621,00"
Segovia,"89.091,00","87.783,00","86.922,00",PSOE,"26.791,00"
Segovia,"89.091,00","87.783,00","86.922,00",VOX,"12.426,00"
Segovia,"89.091,00","87.783,00","86.922,00",SUMAR,"7.020,00"
Segovia,"89.091,00","87.783,00","86.922,00",PACMA,"301,00"
Segovia,"89.091,00","87.783,00","86.922,00",3e,"196,00"
Segovia,"89.091,00","87.783,00","86.922,00",FO,"183,00"
Segovia,"89.091,00","87.783,00","86.922,00",PUM+J,"131,00"
Segovia,"89.091,00","87.783,00","86.922,00",CJ,"102,00"
Segovia,"89.091,00","87.783,00","86.922,00",PCTE,"90,00"
Segovia,"89.091,00","87.783,00","86.922,00",RECORTESCERO,"61,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",PSOE,"386.513,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",PP,"352.102,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",SUMAR,"147.773,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",VOX,"140.522,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",PACMA,"9.213,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",FO,"2.058,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",PUM+J,"1.736,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",PCTE,"1.498,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",RECORTESCERO,"1.027,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",CJ,"901,00"
Sevilla,"1.070.645,00","1.054.919,00","1.044.017,00",FE de lasJONS,"674,00"
Soria,"50.482,00","50.101,00","49.820,00",PP,"18.647,00"
Soria,"50.482,00","50.101,00","49.820,00",PSOE,"14.775,00"
Soria,"50.482,00","50.101,00","49.820,00",SY,"9.626,00"
Soria,"50.482,00","50.101,00","49.820,00",VOX,"4.894,00"
Soria,"50.482,00","50.101,00","49.820,00",SUMAR,"1.679,00"
Soria,"50.482,00","50.101,00","49.820,00",PACMA,"77,00"
Soria,"50.482,00","50.101,00","49.820,00",FO,"60,00"
Soria,"50.482,00","50.101,00","49.820,00",PCTE,"42,00"
Soria,"50.482,00","50.101,00","49.820,00",PUM+J,"11,00"
Soria,"50.482,00","50.101,00","49.820,00",RECORTESCERO,"9,00"
Tarragona,"370.495,00","366.113,00","362.951,00",PSC,"120.482,00"
Tarragona,"370.495,00","366.113,00","362.951,00",ERC,"55.198,00"
Tarragona,"370.495,00","366.113,00","362.951,00",PP,"50.790,00"
Tarragona,"370.495,00","366.113,00","362.951,00",SUMAR -ECP,"41.496,00"
Tarragona,"370.495,00","366.113,00","362.951,00",JxCAT -JUNTS,"40.593,00"
Tarragona,"370.495,00","366.113,00","362.951,00",VOX,"37.910,00"
Tarragona,"370.495,00","366.113,00","362.951,00",CUP-PR,"8.629,00"
Tarragona,"370.495,00","366.113,00","362.951,00",PACMA,"3.748,00"
Tarragona,"370.495,00","366.113,00","362.951,00",PDeCAT-E-CiU,"2.288,00"
Tarragona,"370.495,00","366.113,00","362.951,00",FO,"654,00"
Tarragona,"370.495,00","366.113,00","362.951,00",PCTC,"398,00"
Tarragona,"370.495,00","366.113,00","362.951,00",RECORTESCERO,"263,00"
Tarragona,"370.495,00","366.113,00","362.951,00",EVC,"261,00"
Tarragona,"370.495,00","366.113,00","362.951,00",UNIDOSSI,"241,00"
Teruel,"76.111,00","75.475,00","75.062,00",PP,"26.495,00"
Teruel,"76.111,00","75.475,00","75.062,00",PSOE,"22.048,00"
Teruel,"76.111,00","75.475,00","75.062,00",EXISTE,"11.292,00"
Teruel,"76.111,00","75.475,00","75.062,00",VOX,"9.899,00"
Teruel,"76.111,00","75.475,00","75.062,00",SUMAR,"4.081,00"
Teruel,"76.111,00","75.475,00","75.062,00",PAR,"706,00"
Teruel,"76.111,00","75.475,00","75.062,00",PACMA,"169,00"
Teruel,"76.111,00","75.475,00","75.062,00",ESCAÑOSENBLANCO,"125,00"
Teruel,"76.111,00","75.475,00","75.062,00",FO,"88,00"
Teruel,"76.111,00","75.475,00","75.062,00",PCTE,"55,00"
Teruel,"76.111,00","75.475,00","75.062,00",RECORTESCERO,"48,00"
Teruel,"76.111,00","75.475,00","75.062,00",PUM+J,"29,00"
Teruel,"76.111,00","75.475,00","75.062,00",F.I.A.,"27,00"
Toledo,"391.277,00","385.524,00","382.925,00",PP,"146.036,00"
Toledo,"391.277,00","385.524,00","382.925,00",PSOE,"125.440,00"
Toledo,"391.277,00","385.524,00","382.925,00",VOX,"75.827,00"
Toledo,"391.277,00","385.524,00","382.925,00",SUMAR,"31.620,00"
Toledo,"391.277,00","385.524,00","382.925,00",PACMA,"1.985,00"
Toledo,"391.277,00","385.524,00","382.925,00",FO,"978,00"
Toledo,"391.277,00","385.524,00","382.925,00",PUM+J,"492,00"
Toledo,"391.277,00","385.524,00","382.925,00",FE de lasJONS,"280,00"
Toledo,"391.277,00","385.524,00","382.925,00",RECORTESCERO,"267,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",PP,"481.424,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",PSOE,"458.879,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",SUMAR -COMPROMÍS,"240.712,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",VOX,"217.703,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",PACMA,"10.195,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",FO,"3.014,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",RECORTESCERO,"1.724,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",PUM+J,"1.720,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",EVB,"1.400,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",CJ,"1.034,00"
València/Valencia,"1.443.384,00","1.429.482,00","1.418.590,00",FE de lasJONS,"785,00"
Valladolid,"317.147,00","314.150,00","311.740,00",PP,"128.342,00"
Valladolid,"317.147,00","314.150,00","311.740,00",PSOE,"102.860,00"
Valladolid,"317.147,00","314.150,00","311.740,00",VOX,"47.697,00"
Valladolid,"317.147,00","314.150,00","311.740,00",SUMAR,"27.693,00"
Valladolid,"317.147,00","314.150,00","311.740,00",PACMA,"1.221,00"
Valladolid,"317.147,00","314.150,00","311.740,00",ESPAÑAVACIADA,"1.201,00"
Valladolid,"317.147,00","314.150,00","311.740,00",FO,"600,00"
Valladolid,"317.147,00","314.150,00","311.740,00",ESCAÑOSENBLANCO,"567,00"
Valladolid,"317.147,00","314.150,00","311.740,00",Ud.Ca,"452,00"
Valladolid,"317.147,00","314.150,00","311.740,00",PUM+J,"359,00"
Valladolid,"317.147,00","314.150,00","311.740,00",PCTE,"324,00"
Valladolid,"317.147,00","314.150,00","311.740,00",RECORTESCERO,"156,00"
Valladolid,"317.147,00","314.150,00","311.740,00",FE de lasJONS,"155,00"
Valladolid,"317.147,00","314.150,00","311.740,00",FUERZACÍVICA,"113,00"
Zamora,"102.925,00","101.678,00","100.766,00",PP,"45.550,00"
Zamora,"102.925,00","101.678,00","100.766,00",PSOE,"32.996,00"
Zamora,"102.925,00","101.678,00","100.766,00",VOX,"13.448,00"
Zamora,"102.925,00","101.678,00","100.766,00",SUMAR,"5.730,00"
Zamora,"102.925,00","101.678,00","100.766,00",Zsi,"1.797,00"
Zamora,"102.925,00","101.678,00","100.766,00",U.P.L.,"511,00"
Zamora,"102.925,00","101.678,00","100.766,00",PACMA,"259,00"
Zamora,"102.925,00","101.678,00","100.766,00",PREPAL,"155,00"
Zamora,"102.925,00","101.678,00","100.766,00",FO,"116,00"
Zamora,"102.925,00","101.678,00","100.766,00",PCTE,"86,00"
Zamora,"102.925,00","101.678,00","100.766,00",PUM+J,"71,00"
Zamora,"102.925,00","101.678,00","100.766,00",RECORTESCERO,"47,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",PP,"185.613,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",PSOE,"158.517,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",VOX,"78.915,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",SUMARARAGÓN,"69.239,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",EXISTE,"7.713,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",PAR,"2.682,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",PACMA,"2.364,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",ESCAÑOSENBLANCO,"2.119,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",FO,"1.013,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",PCTE,"543,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",PUM+J,"390,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",F.I.A.,"387,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",RECORTESCERO,"303,00"
Zaragoza,"519.403,00","514.737,00","510.069,00",FE de lasJONS,"271,00"
