,codename,political_parties,votes
188,lleida,PODEMOS-IU,0
189,tarragona,PODEMOS-IU,0
190,badajoz,PODEMOS-IU,33971
191,caceres,PODEMOS-IU,20101
192,acoruña,PODEMOS-IU,0
193,lugo,PODEMOS-IU,0
194,ourense,PODEMOS-IU,0
195,pontevedra,PODEMOS-IU,0
196,madrid,PODEMOS-IU,463629
197,navarra,PODEMOS-IU,55498
198,araba_alava,PODEMOS-IU,28186
199,gipuzkoa,PODEMOS-IU,57363
200,bizkaia,PODEMOS-IU,97125
201,murcia,PODEMOS-IU,63461
202,larioja,PODEMOS-IU,16273
203,alicante_alacant,PODEMOS-IU,108533
204,castellon_castello,PODEMOS-IU,39251
205,valencia_valencia,PODEMOS-IU,191812
206,ceuta,PODEMOS-IU,1300
207,melilla,PODEMOS-IU,809
208,almeria,ERC-SOBIRANISTES,0
209,cadiz,ERC-SOBIRANISTES,0
210,cordoba,ERC-SOBIRANISTES,0
211,granada,ERC-SOBIRANISTES,0
212,huelva,ERC-SOBIRANISTES,0
213,jaen,ERC-SOBIRANISTES,0
214,malaga,ERC-SOBIRANISTES,0
215,sevilla,ERC-SOBIRANISTES,0
216,huesca,ERC-SOBIRANISTES,0
217,teruel,ERC-SOBIRANISTES,0
218,zaragoza,ERC-SOBIRANISTES,0
219,asturias,ERC-SOBIRANISTES,0
220,illesbalears,ERC-SOBIRANISTES,0
221,laspalmas,ERC-SOBIRANISTES,0
222,santacruzdetenerife,ERC-SOBIRANISTES,0
223,cantabria,ERC-SOBIRANISTES,0
224,albacete,ERC-SOBIRANISTES,0
225,ciudadreal,ERC-SOBIRANISTES,0
226,cuenca,ERC-SOBIRANISTES,0
227,guadalajara,ERC-SOBIRANISTES,0
228,toledo,ERC-SOBIRANISTES,0
229,avila,ERC-SOBIRANISTES,0
230,burgos,ERC-SOBIRANISTES,0
231,leon,ERC-SOBIRANISTES,0
232,palencia,ERC-SOBIRANISTES,0
233,salamanca,ERC-SOBIRANISTES,0
234,segovia,ERC-SOBIRANISTES,0
235,soria,ERC-SOBIRANISTES,0
236,valladolid,ERC-SOBIRANISTES,0
237,zamora,ERC-SOBIRANISTES,0
238,barcelona,ERC-SOBIRANISTES,618909
239,girona,ERC-SOBIRANISTES,91932
240,lleida,ERC-SOBIRANISTES,65236
241,tarragona,ERC-SOBIRANISTES,98782
242,badajoz,ERC-SOBIRANISTES,0
243,caceres,ERC-SOBIRANISTES,0
244,acoruña,ERC-SOBIRANISTES,0
245,lugo,ERC-SOBIRANISTES,0
246,ourense,ERC-SOBIRANISTES,0
247,pontevedra,ERC-SOBIRANISTES,0
248,madrid,ERC-SOBIRANISTES,0
249,navarra,ERC-SOBIRANISTES,0
250,araba_alava,ERC-SOBIRANISTES,0
251,gipuzkoa,ERC-SOBIRANISTES,0
252,bizkaia,ERC-SOBIRANISTES,0
253,murcia,ERC-SOBIRANISTES,0
254,larioja,ERC-SOBIRANISTES,0
255,alicante_alacant,ERC-SOBIRANISTES,0
256,castellon_castello,ERC-SOBIRANISTES,0
257,valencia_valencia,ERC-SOBIRANISTES,0
258,ceuta,ERC-SOBIRANISTES,0
259,melilla,ERC-SOBIRANISTES,0
260,almeria,Cs,22835
261,cadiz,Cs,55490
262,cordoba,Cs,36229
263,granada,Cs,37772
264,huelva,Cs,18382
265,jaen,Cs,24816
266,malaga,Cs,66995
267,sevilla,Cs,83575
268,huesca,Cs,9244
269,teruel,Cs,3732
270,zaragoza,Cs,47001
271,asturias,Cs,37374
272,illesbalears,Cs,33451
273,laspalmas,Cs,28018
274,santacruzdetenerife,Cs,22979
275,cantabria,Cs,15609
276,albacete,Cs,15947
277,ciudadreal,Cs,18337
278,cuenca,Cs,5094
279,guadalajara,Cs,10169
280,toledo,Cs,24871
281,avila,Cs,6119
282,burgos,Cs,16214
283,leon,Cs,16731
284,palencia,Cs,5937
285,salamanca,Cs,16886
286,segovia,Cs,6861
287,soria,Cs,2670
288,valladolid,Cs,26947
289,zamora,Cs,6835
290,barcelona,Cs,174124
291,girona,Cs,13869
292,lleida,Cs,7128
293,tarragona,Cs,22814
294,badajoz,Cs,29520
295,caceres,Cs,15533
296,acoruña,Cs,28469
297,lugo,Cs,5811
298,ourense,Cs,6397
299,pontevedra,Cs,23984
300,madrid,Cs,323076
301,navarra,Cs,0
302,araba_alava,Cs,2526
303,gipuzkoa,Cs,3824
304,bizkaia,Cs,6929
305,murcia,Cs,53201
306,larioja,Cs,11673
307,alicante_alacant,Cs,69143
308,castellon_castello,Cs,20302
309,valencia_valencia,Cs,106820
310,ceuta,Cs,1138
311,melilla,Cs,917
312,almeria,JxCAT-JUNTS,0
313,cadiz,JxCAT-JUNTS,0
314,cordoba,JxCAT-JUNTS,0
315,granada,JxCAT-JUNTS,0
316,huelva,JxCAT-JUNTS,0
317,jaen,JxCAT-JUNTS,0
318,malaga,JxCAT-JUNTS,0
319,sevilla,JxCAT-JUNTS,0
320,huesca,JxCAT-JUNTS,0
321,teruel,JxCAT-JUNTS,0
322,zaragoza,JxCAT-JUNTS,0
323,asturias,JxCAT-JUNTS,0
324,illesbalears,JxCAT-JUNTS,0
325,laspalmas,JxCAT-JUNTS,0
326,santacruzdetenerife,JxCAT-JUNTS,0
327,cantabria,JxCAT-JUNTS,0
328,albacete,JxCAT-JUNTS,0
329,ciudadreal,JxCAT-JUNTS,0
330,cuenca,JxCAT-JUNTS,0
331,guadalajara,JxCAT-JUNTS,0
332,toledo,JxCAT-JUNTS,0
333,avila,JxCAT-JUNTS,0
334,burgos,JxCAT-JUNTS,0
335,leon,JxCAT-JUNTS,0
336,palencia,JxCAT-JUNTS,0
337,salamanca,JxCAT-JUNTS,0
338,segovia,JxCAT-JUNTS,0
339,soria,JxCAT-JUNTS,0
340,valladolid,JxCAT-JUNTS,0
341,zamora,JxCAT-JUNTS,0
342,barcelona,JxCAT-JUNTS,343931
343,girona,JxCAT-JUNTS,88060
344,lleida,JxCAT-JUNTS,46773
