id,votes,pp_id,region_election_id
7376,69,56,129
7377,32,211,129
7378,223226,2,144
7379,177199,1,144
7380,74605,204,144
7381,53246,17,144
7382,26648,3,144
7383,2925,20,144
7384,944,209,144
7385,487,205,144
7386,441,28,144
7387,92498,2,130
7388,59790,1,130
7389,28959,3,130
7390,10760,204,130
7391,1031,210,130
7392,566,20,130
7393,469,52,130
7394,311,28,130
7395,249,209,130
7396,180,23,130
7397,132,211,130
7398,78,205,130
7399,173222,2,119
7400,164533,1,119
7401,81391,188,119
7402,53330,204,119
7403,6098,20,119
7404,3135,187,119
7405,1597,209,119
7406,772,27,119
7407,757,205,119
7408,39621,2,131
7409,26791,1,131
7410,12426,3,131
7411,7020,204,131
7412,301,20,131
7413,196,186,131
7414,183,209,131
7415,131,23,131
7416,102,211,131
7417,90,28,131
7418,61,205,131
7419,386513,1,112
7420,352102,2,112
7421,147773,204,112
7422,140522,3,112
7423,9213,20,112
7424,2058,209,112
7425,1736,23,112
7426,1498,28,112
7427,1027,205,112
7428,901,211,112
7429,674,56,112
7430,18647,2,132
7431,14775,1,132
7432,9626,195,132
7433,4894,3,132
7434,1679,204,132
7435,77,20,132
7436,60,209,132
7437,42,28,132
7438,11,23,132
7439,9,205,132
7440,120482,1,138
7441,55198,176,138
7442,50790,2,138
7443,41496,202,138
7444,40593,7,138
7445,37910,3,138
7446,8629,12,138
7447,3748,20,138
7448,2288,177,138
7449,654,209,138
7450,398,28,138
7451,263,205,138
7452,261,196,138
7453,241,197,138
7454,26495,2,114
7455,22048,1,114
7456,11292,19,114
7457,9899,3,114
7458,4081,204,114
7459,706,183,114
7460,169,20,114
7461,125,33,114
7462,88,209,114
7463,55,28,114
7464,48,205,114
7465,29,23,114
7466,27,60,114
7467,146036,2,125
7468,125440,1,125
7469,75827,3,125
7470,31620,204,125
7471,1985,20,125
7472,978,209,125
7473,492,23,125
7474,280,56,125
7475,267,205,125
7476,481424,2,154
7477,458879,1,154
7478,240712,203,154
7479,217703,3,154
7480,10195,20,154
7481,3014,209,154
7482,1724,205,154
7483,1720,23,154
7484,1400,198,154
7485,1034,211,154
7486,785,56,154
7487,128342,2,133
7488,102860,1,133
7489,47697,3,133
7490,27693,204,133
7491,1221,20,133
7492,1201,210,133
7493,600,209,133
7494,567,33,133
7495,452,199,133
7496,359,23,133
7497,324,28,133
7498,156,205,133
7499,155,56,133
7500,113,200,133
7501,45550,2,134
7502,32996,1,134
7503,13448,3,134
7504,5730,204,134
7505,1797,201,134
7506,511,30,134
7507,259,20,134
7508,155,52,134
7509,116,209,134
7510,86,28,134
7511,71,23,134
7512,47,205,134
7513,185613,2,115
7514,158517,1,115
7515,78915,3,115
7516,69239,204,115
7517,7713,19,115
7518,2682,183,115
7519,2364,20,115
7520,2119,33,115
7521,1013,209,115
7522,543,28,115
7523,390,23,115
7524,387,60,115
7525,303,205,115
7526,271,56,115
